wcount,hostNum,limitNum,packetin,stat,flowmod,bw,limit,actualBw
0,0,2,0,0,0,520,0,8192,0
1,0,2,0,0,0,0,0,8192,0
2,0,2,0,0,0,0,0,8192,0
3,0,2,0,0,0,0,0,8192,0
4,0,2,0,0,0,0,0,8192,0
5,0,2,0,0,0,0,0,8192,0
6,0,2,0,0,0,0,0,8192,0
7,0,2,0,0,0,0,0,8192,0
8,0,2,0,0,0,0,0,8192,0
9,0,2,0,0,0,0,0,8192,0
10,0,2,0,0,0,0,0,8192,0
11,0,2,0,0,0,0,0,8192,0
12,0,2,0,0,0,0,0,8192,0
13,0,2,0,0,0,0,0,8192,0
14,0,2,0,0,0,0,0,8192,0
15,0,2,0,0,0,0,0,8192,0
16,0,2,0,0,0,0,0,8192,0
17,0,2,0,0,0,0,0,8192,0
18,0,2,0,0,0,0,0,8192,0
19,0,2,0,0,0,0,0,8192,0
0,0,2,0,0,0,0,493,8192,0
1,0,2,0,0,0,0,493,8192,0
2,0,2,0,0,0,0,493,8192,0
3,0,2,0,0,0,0,493,8192,0
4,0,2,0,0,0,0,493,8192,0
5,0,2,0,0,0,0,493,8192,0
6,0,2,0,0,0,0,493,8192,0
7,0,2,0,0,0,0,493,8192,0
8,0,2,0,0,0,0,493,8192,0
9,0,2,0,0,0,0,493,8192,0
10,0,2,0,0,0,0,493,8192,0
11,0,2,0,0,0,0,493,8192,0
12,0,2,0,0,0,0,493,8192,0
13,0,2,0,0,0,0,493,8192,0
14,0,2,0,0,0,0,493,8192,0
15,0,2,0,0,0,0,493,8192,0
16,0,2,0,0,0,0,493,8192,0
17,0,2,0,0,0,0,493,8192,0
18,0,2,0,0,0,0,493,8192,0
19,0,2,0,0,0,0,493,8192,0
0,0,2,0,0,0,0,0,8192,0
1,0,2,0,0,0,0,0,8192,0
2,0,2,0,0,0,0,0,8192,0
3,0,2,0,0,0,0,0,8192,0
4,0,2,0,0,0,0,0,8192,0
5,0,2,0,0,0,0,0,8192,0
6,0,2,0,0,0,0,0,8192,0
7,0,2,0,0,0,0,0,8192,0
8,0,2,0,0,0,0,0,8192,0
9,0,2,0,0,0,0,0,8192,0
10,0,2,0,0,0,0,0,8192,0
11,0,2,0,0,0,0,0,8192,0
12,0,2,0,0,0,0,0,8192,0
13,0,2,0,0,0,0,0,8192,0
14,0,2,0,0,0,0,0,8192,0
15,0,2,0,0,0,0,0,8192,0
16,0,2,0,0,0,0,0,8192,0
17,0,2,0,0,0,0,0,8192,0
18,0,2,0,0,0,0,0,8192,0
19,0,2,0,0,0,0,0,8192,0
0,0,2,0,0,0,0,0,8192,0
1,0,2,0,0,0,0,0,8192,0
2,0,2,0,0,0,0,0,8192,0
3,0,2,0,0,0,0,0,8192,0
4,0,2,0,0,0,0,0,8192,0
5,0,2,0,0,0,0,0,8192,0
6,0,2,0,0,0,0,0,8192,0
7,0,2,0,0,0,0,0,8192,0
8,0,2,0,0,0,0,0,8192,0
9,0,2,0,0,0,0,0,8192,0
10,0,2,0,0,0,0,0,8192,0
11,0,2,0,0,0,0,0,8192,0
12,0,2,0,0,0,0,0,8192,0
13,0,2,0,0,0,0,0,8192,0
14,0,2,0,0,0,0,0,8192,0
15,0,2,0,0,0,0,0,8192,0
16,0,2,0,0,0,0,0,8192,0
17,0,2,0,0,0,0,0,8192,0
18,0,2,0,0,0,0,0,8192,0
19,0,2,0,0,0,0,0,8192,0
0,0,2,0,0,0,0,0,8192,0
1,0,2,0,0,0,0,0,8192,0
2,0,2,0,0,0,0,0,8192,0
3,0,2,0,0,0,0,0,8192,0
4,0,2,0,0,0,0,0,8192,0
5,0,2,0,0,0,0,0,8192,0
6,0,2,0,0,0,0,0,8192,0
7,0,2,0,0,0,0,0,8192,0
8,0,2,0,0,0,0,0,8192,0
9,0,2,0,0,0,0,0,8192,0
10,0,2,0,0,0,0,0,8192,0
11,0,2,0,0,0,0,0,8192,0
12,0,2,0,0,0,0,0,8192,0
13,0,2,0,0,0,0,0,8192,0
14,0,2,0,0,0,0,0,8192,0
15,0,2,0,0,0,0,0,8192,0
16,0,2,0,0,0,0,0,8192,0
17,0,2,0,0,0,0,0,8192,0
18,0,2,0,0,0,0,0,8192,0
19,0,2,0,0,0,0,0,8192,0
0,0,2,0,0,0,0,0,8192,0
1,0,2,0,0,0,0,0,8192,0
2,0,2,0,0,0,0,0,8192,0
3,0,2,0,0,0,0,0,8192,0
4,0,2,0,0,0,0,0,8192,0
5,0,2,0,0,0,0,0,8192,0
6,0,2,0,0,0,0,0,8192,0
7,0,2,0,0,0,0,0,8192,0
8,0,2,0,0,0,0,0,8192,0
9,0,2,0,0,0,0,0,8192,0
10,0,2,0,0,0,0,0,8192,0
11,0,2,0,0,0,0,0,8192,0
12,0,2,0,0,0,0,0,8192,0
13,0,2,0,0,0,0,0,8192,0
14,0,2,0,0,0,0,0,8192,0
15,0,2,0,0,0,0,0,8192,0
16,0,2,0,0,0,0,0,8192,0
17,0,2,0,0,0,0,0,8192,0
18,0,2,0,0,0,0,0,8192,0
19,0,2,0,0,0,0,0,8192,0
