Time,hostNum,slink,packetin,stat,flowmod,readThroughput
0,0,2,0,0,0,488
1,0,2,0,0,0,0
2,0,2,0,0,0,0
3,0,2,0,0,0,0
4,0,2,0,0,0,0
5,0,2,0,0,0,0
6,0,2,0,0,0,0
7,0,2,0,0,0,0
8,0,2,0,0,0,0
9,0,2,0,0,0,0
10,0,2,0,0,0,0
11,0,2,0,0,0,0
12,0,2,0,0,0,0
13,0,2,0,0,0,0
14,0,2,0,0,0,0
15,0,2,0,0,0,0
16,0,2,0,0,0,0
17,0,2,0,0,0,0
18,0,2,0,0,0,0
19,0,2,0,0,0,0
